student_id,school_year,season,assessment,subject,value_type,value,school,grade_num,source_file,year_confidence
2010918,2022-23,Fall,STAR,Reading,score,956.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2012864,2022-23,Fall,STAR,Reading,score,1122.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2010956,2022-23,Fall,STAR,Reading,score,1017.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2016093,2022-23,Fall,STAR,Reading,score,988.0,John Muir Elementary School,5.0,base_data.xlsx,High
2021401,2022-23,Fall,STAR,Reading,score,907.0,Washington Elementary School,4.0,base_data.xlsx,High
2019710,2022-23,Fall,STAR,Reading,score,1000.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2019799,2022-23,Fall,STAR,Reading,score,844.0,Oxford Elementary School,5.0,base_data.xlsx,High
2014928,2022-23,Fall,STAR,Reading,score,1063.0,Willard Middle School,6.0,base_data.xlsx,High
2010591,2022-23,Fall,STAR,Reading,score,1070.0,Berkeley High School,9.0,base_data.xlsx,High
2013545,2022-23,Fall,STAR,Reading,score,936.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2017864,2022-23,Fall,STAR,Reading,score,903.0,John Muir Elementary School,4.0,base_data.xlsx,High
2013135,2022-23,Fall,STAR,Reading,score,985.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2013231,2022-23,Fall,STAR,Reading,score,998.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2018780,2022-23,Fall,STAR,Reading,score,875.0,Berkeley Arts Magnet Elementary School,4.0,base_data.xlsx,High
2011435,2022-23,Fall,STAR,Reading,score,1106.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2022369,2022-23,Fall,STAR,Reading,score,1068.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2018515,2022-23,Fall,STAR,Reading,score,1067.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2009474,2022-23,Fall,STAR,Reading,score,1080.0,Berkeley High School,9.0,base_data.xlsx,High
2014175,2022-23,Fall,STAR,Reading,score,945.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2010913,2022-23,Fall,STAR,Reading,score,1057.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2012746,2022-23,Fall,STAR,Reading,score,947.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2016615,2022-23,Fall,STAR,Reading,score,833.0,Cragmont Elementary School,5.0,base_data.xlsx,High
2020082,2022-23,Fall,STAR,Reading,score,1103.0,Berkeley High School,9.0,base_data.xlsx,High
2011874,2022-23,Fall,STAR,Reading,score,1119.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2013479,2022-23,Fall,STAR,Reading,score,1016.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2011578,2022-23,Fall,STAR,Reading,score,1121.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2018621,2022-23,Fall,STAR,Reading,score,1025.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2013415,2022-23,Fall,STAR,Reading,score,1022.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2015340,2022-23,Fall,STAR,Reading,score,1045.0,Willard Middle School,6.0,base_data.xlsx,High
2013390,2022-23,Fall,STAR,Reading,score,1031.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2017528,2022-23,Fall,STAR,Reading,score,918.0,Oxford Elementary School,4.0,base_data.xlsx,High
2013389,2022-23,Fall,STAR,Reading,score,1091.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
